OBJECTID,WPITEM,WPITMSEG,ITMSEG,FINPROJ,RDWYLOC,BEGSECPT,ENDSECPT,RDWYSIDE,RDWYID,ITSEGMAN,WPWKMIX,WPITSTAT,MANDISDV,CONTYDOT,WPPHAZGP,WPPHAZTP,FINPRJSQ,FISCALYR,PRPLCCDE,PRPLCODE,CONTYNAM,WPWKMIXN,WPITSTNM,LOCALFULL,LOC_ERROR,Shape__Length,WPPHAZTP_DESC,Normalized_Length,PHASE_WEIGHT,risk_proxy
36770,251688,1,2516881,25168815232,21,0.102,0.18700001,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,32,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,130.26393531132325,Active Construction,0.010871353941467697,1.0,0.010871353941467697
36772,251688,1,2516881,25168815204,10,12.27999973,12.45499992,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,04,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,279.35460800237564,Active Construction,0.023313918864155493,1.0,0.023313918864155493
36780,251688,1,2516881,25168815202,7,0.01,0.133,C,87200119,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,198.74087221851246,Active Construction,0.01658618987181515,1.0,0.01658618987181515
36782,251688,1,2516881,25168815202,11,12.45499992,12.65499973,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,319.3439257060065,Active Construction,0.026651281777343803,1.0,0.026651281777343803
36785,251688,1,2516881,25168815230,21,0.102,0.18700001,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,30,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,130.26393531132325,Active Construction,0.010871353941467697,1.0,0.010871353941467697
36789,251688,1,2516881,25168815202,10,12.27999973,12.45499992,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,279.35460800237564,Active Construction,0.023313918864155493,1.0,0.023313918864155493
36797,251688,1,2516881,25168815209,7,0.01,0.133,C,87200119,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,09,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,198.74087221851246,Active Construction,0.01658618987181515,1.0,0.01658618987181515
36806,251688,1,2516881,25168815209,5,0.0,0.102,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,09,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,170.85857422988244,Active Construction,0.014259234760168672,1.0,0.014259234760168672
36816,251688,1,2516881,25168815201,22,0.0,0.121,C,87200125,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,204.19389825062984,Active Construction,0.017041279577999023,1.0,0.017041279577999023
36818,251688,1,2516881,25168815232,10,12.27999973,12.45499992,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,32,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,279.35460800237564,Active Construction,0.023313918864155493,1.0,0.023313918864155493
36832,251688,1,2516881,25168815202,10,12.27999973,12.45499992,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,279.35460800237564,Active Construction,0.023313918864155493,1.0,0.023313918864155493
36833,251688,1,2516881,25168815201,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36845,251688,1,2516881,25168815201,21,0.102,0.18700001,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,130.26393531132325,Active Construction,0.010871353941467697,1.0,0.010871353941467697
